run,phase,sample,query,disabled_ms,reused_ms
fresh_metabase,sequential,34,count,41.055083,23.724583
fresh_metabase,sequential,35,filter,43.045875,30.517708
fresh_metabase,sequential,36,group,44.185292,31.76125
fresh_metabase,sequential,37,count,38.499,28.106542
fresh_metabase,sequential,38,filter,39.062542,29.558833
fresh_metabase,sequential,39,group,41.790916,32.51775
fresh_metabase,sequential,40,count,37.144291,25.931666
fresh_metabase,sequential,41,filter,43.452167,28.56
fresh_metabase,sequential,42,group,47.3635,28.263083
fresh_metabase,sequential,43,count,39.862791,22.836292
fresh_metabase,sequential,44,filter,40.431042,26.582166
fresh_metabase,sequential,45,group,39.178125,27.415083
fresh_metabase,sequential,46,count,37.047792,24.918666
fresh_metabase,sequential,47,filter,45.580333,27.926625
fresh_metabase,sequential,48,group,45.858,30.486833
fresh_metabase,sequential,49,count,38.738625,22.966708
fresh_metabase,sequential,50,filter,40.148208,26.112083
fresh_metabase,sequential,51,group,38.96875,26.660416
fresh_metabase,sequential,52,count,37.345708,23.518166
fresh_metabase,sequential,53,filter,37.382333,26.129166
fresh_metabase,sequential,54,group,40.8375,28.635667
fresh_metabase,sequential,55,count,40.865167,24.01325
fresh_metabase,sequential,56,filter,39.39,26.364583
fresh_metabase,sequential,57,group,40.566917,26.718375
fresh_metabase,sequential,58,count,36.441375,22.465625
fresh_metabase,sequential,59,filter,38.469209,28.184583
fresh_metabase,sequential,60,group,40.039083,27.791292
fresh_metabase,batch_of_four,1,count+group+filter+group,97.43125,44.637584
fresh_metabase,batch_of_four,2,count+group+filter+group,104.869583,43.448084
fresh_metabase,batch_of_four,3,count+group+filter+group,103.423375,41.6755
fresh_metabase,batch_of_four,4,count+group+filter+group,100.16675,57.349958
fresh_metabase,batch_of_four,5,count+group+filter+group,91.464666,43.648583
fresh_metabase,batch_of_four,6,count+group+filter+group,96.392042,40.046584
fresh_metabase,batch_of_four,7,count+group+filter+group,89.152792,38.471167
fresh_metabase,batch_of_four,8,count+group+filter+group,111.603292,45.582541
fresh_metabase,batch_of_four,9,count+group+filter+group,118.728,40.944125
fresh_metabase,batch_of_four,10,count+group+filter+group,88.90425,38.429291
fresh_metabase,batch_of_four,11,count+group+filter+group,95.52475,43.660958
fresh_metabase,batch_of_four,12,count+group+filter+group,96.333583,43.302959
fresh_metabase,batch_of_four,13,count+group+filter+group,105.665541,42.648542
fresh_metabase,batch_of_four,14,count+group+filter+group,103.940584,46.373834
fresh_metabase,batch_of_four,15,count+group+filter+group,101.737625,43.678375
fresh_metabase,batch_of_four,16,count+group+filter+group,92.852917,41.404375
fresh_metabase,batch_of_four,17,count+group+filter+group,92.687958,44.201959
fresh_metabase,batch_of_four,18,count+group+filter+group,98.508208,47.104291
fresh_metabase,batch_of_four,19,count+group+filter+group,108.923833,47.869708
fresh_metabase,batch_of_four,20,count+group+filter+group,101.738541,48.785666
final_jar,sequential,1,count,44.01325,27.102417
final_jar,sequential,2,filter,43.954417,30.468709
final_jar,sequential,3,group,44.252625,32.527084
final_jar,sequential,4,count,36.17925,26.376166
final_jar,sequential,5,filter,41.170875,31.272208
final_jar,sequential,6,group,43.951667,31.180333
final_jar,sequential,7,count,36.427125,25.636666
final_jar,sequential,8,filter,38.790666,30.829042
final_jar,sequential,9,group,42.137542,34.402333
final_jar,sequential,10,count,35.716708,26.600333
final_jar,sequential,11,filter,38.556334,29.792333
final_jar,sequential,12,group,42.918625,32.426458
final_jar,sequential,13,count,36.232875,25.312
final_jar,sequential,14,filter,43.402833,28.150333
final_jar,sequential,15,group,45.600291,30.329666
final_jar,sequential,16,count,38.806584,24.711708
final_jar,sequential,17,filter,37.694375,29.51975
final_jar,sequential,18,group,39.576417,29.463875
final_jar,sequential,19,count,35.307417,25.15825
final_jar,sequential,20,filter,40.26825,27.75925
final_jar,sequential,21,group,39.3305,28.613792
final_jar,sequential,22,count,36.170834,24.11975
final_jar,sequential,23,filter,39.32975,27.328417
final_jar,sequential,24,group,43.03125,30.171125
final_jar,sequential,25,count,33.741375,23.218917
final_jar,sequential,26,filter,37.734916,26.738708
final_jar,sequential,27,group,38.008,27.541333
final_jar,sequential,28,count,35.28275,24.200209
final_jar,sequential,29,filter,34.293125,26.112708
final_jar,sequential,30,group,37.158083,27.797417
final_jar,sequential,31,count,34.384292,22.8015
